Region,average_freight,sum_of_delay,average_delay
AP,28.08666666666667,2,96.3333
RR,33.1,5,36.4
AM,55.226,4,24.4
AC,57.45333333333334,3,18.6667
CE,32.54824742268042,176,14.6959
SE,40.152459016393436,51,14.5738
RN,35.75404255319149,44,14.3404
RJ,21.963053527980435,1495,13.2555
PI,36.62309859154929,66,12.7606
PA,36.73159663865547,106,12.521
GO,22.80528169014084,128,12.2042
BA,26.15319634703199,396,11.7922
PE,32.654088050314485,153,11.7296
ES,22.69920502092051,214,10.7992
RS,21.9986312849162,325,10.757
MT,28.98603174603174,53,10.2698
PB,39.26111111111113,54,9.9524
MA,42.81520833333333,125,9.8681
AL,32.36719101123595,85,9.7978
SC,20.649492537313446,291,8.8627
MG,21.942650176678423,520,8.417
SP,16.584150758688185,1820,8.1836
PR,21.45511415525115,199,8.0959
MS,25.320136986301375,68,7.9726
DF,20.467659574468076,118,7.8936
TO,43.35566666666667,27,6.5667
RO,25.18909090909091,7,6.4545
