customer,Total_spendings
0a0a92112bd4c708ca5fde585afaa872,13664.08
da122df9eeddfedc1dc1f5349a1a690c,7571.63
763c8b1c9c68a0229c42c9fc6f662b93,7274.88
dc4802a71eae9be1dd28f5d788ceb526,6929.31
459bef486812aa25204be022145caa62,6922.21
ff4159b92c40ebe40454e3e6a7c35ed6,6726.66
4007669dec559734d6f53e029e360987,6081.54
eebb5dda148d3893cdaf5b5ca3040ccb,4764.34
48e1ac109decbb87765a3eade6854098,4681.78
c8460e4251689ba205045f3ea17884a1,4655.910000000001
edde2314c6c30e864a128ac95d6b2112,4513.32
a229eba70ec1c2abef51f04987deb7a5,4445.5
edf81e1f3070b9dac83ec83dacdbb9bc,4194.76
fa562ef24d41361e476e748681810e1e,4175.26
ca27f3dac28fb1063faddd424c9d95fa,4163.51
5e713be0853d8986528d7869a0811d2b,4042.74
58483a1c055dfb600f57c5b867174542,4034.44
011875f0176909c5cf0b14a9138bb691,4016.91
f0767ae738c3d90e7b737d7b8b8bb4d1,3979.55
bc5e25094a7d51b6aee35236572e64f4,3826.8
3fec1a05177762f279472253113d568a,3792.59
5d09b0d82126457e2a8ebfb9c9a1ffc4,3736.22
931eabdf0636b8fd60369a8d759917d6,3666.42
03796b63235e0e0a299084988c662c7e,3602.47
59d66d72939bc9497e19d89c61a96d5f,3559.9900000000002
2c3b08cf3584d8c0a81d9618a73aa219,3526.46
95a744604de66a2e40e18086e69be4f2,3406.47
76a08544f95591acec0d4c976054c459,3358.24
ce3fe361f9e68bf0a813baaae1334d01,3351.35
7a96eb0a685f5c19b7dad29fc802aa64,3297.3999999999996
9b11e010850a4045d2da80c7783fdbd1,3256.14
adfa1cab2b2c8706db21bb13c0a1beb1,3242.84
bbeb907759ef5fc169099af3c88d535d,3209.72
1b76903617af13189607a36b0469f6f3,3195.73
6f00d356a4be20527662aaf12116baab,3184.55
46450c74a0d8c5ca9395da1daac6c120,3184.34
53fb3435773a4690e56010b169ee2820,3155.82
895617ab63a9ad8881d9470f7427cd25,3126.5
c6111f70f40b3420e387493c627c27fa,3126.5
be825ddd3b40db3f91bf05b4e9435d56,3122.72
f886a3f43af9ac928fbb4b56436c528c,3076.13
ff0ae98646e7bbb41cf0f0d3991fef98,3048.27
0f75637a7e2f7b6ae43665d1f7d0ca5d,3044.12
2ae8173a688e326821403a5b7a6858c2,3042.36
6172bd5b7f52ade8c6c4548b448ff54f,3041.73
ea984b06b18cc6905bc2f9b0a3d1c986,3024.08
ef8d54b3797ea4db1d63f0ced6a906e9,3018.6
ee2bb06c1d3f368e92084edefb7e4b57,3016.01
ae04948ad7210ea76801b331080e0b3a,3009.53
4683ad127301c1bcbd601a30bb22d2ba,3005.06
129bfc164612d70a040a844b887dfec5,2960.05
d9f8d6be11fb416742c9e35e725303f7,2938.17
5599df2eeb9e2e4f377db24e09cb976f,2913.47
fff5eb4918b2bf4b2da476788d42051c,2844.96
c38b132f1c68c14c0d3b32e66b796eba,2838.22
8ad6fdb3d658f916f444aaf55a49bb29,2828.42
c21e93b1d7b7a416d0f36fa6ebc1d60a,2827.0
25bedfc6317ec4a379ef49b9c1049733,2818.74
030a810edeec1ceea314282513023587,2794.5
34ff67eb3466a779b2f6b6fd56a3b953,2787.87
81d8bf17c9e450228efeedd2603edfaa,2784.16
eae0a83d752b1dd32697e0e7b4221656,2783.01
acc38a550c42d17125cd25c32a464d26,2759.95
ec5d2f91c651ce345616c7035fab6f9d,2759.88
1e7097be947ad5d0f7819bdc9d8d7d0e,2751.24
0de97ff655abfc142ba6fc83e86bf082,2734.66
149b43a4776ea0a773ac75bc58830fb9,2734.11
13d9920a16127351540bcd95ad4643c8,2733.63
fc54c2c09aee36da48881e5bf37ef795,2732.06
f140f377d666848e3712b51a2734d120,2713.36
5e92460d739e8dd987e279285a1d278c,2713.36
bb149f7e7bfee3d984e265d0eae6181b,2681.29
c949c73b1318491d6b5b117acb3e24a4,2681.29
212b7cfb2631b23e85a4645a7cba1733,2647.76
f44ffa618df5f8a65899275c93b14ae2,2638.64
69e4e534ba5e6a8124d132b271923148,2627.09
684da9ec00ee25877fe21ce197403d04,2616.0
26b5839e505ee33e6a449f7c2c403f99,2607.09
7814db11654d2bf3b43bae828b6eee05,2606.01
7386ded430d6aeb715a0d087c38a2dfe,2590.61
d8f1c3ed0de527caf0a7eceeb025b583,2574.38
0621cda5f3ee9a2e6f3ae6ebb5fcdbe1,2564.65
02ccceb879088a0253e1e46e0200bdb8,2512.53
84056c11d63b679a61f195ef043505f4,2487.24
575fa0cb05146c256ec1c9d348ec0305,2480.58
5dff3703f9d82688ab5a1c92df1e4b18,2467.33
bef3ce10ea5715fbcbcbe3b266ee94c5,2467.17
0bec90ebca9ff4b2b830950bb052e52d,2457.44
8e07cbdbbb24328ece74135e2a81405b,2455.12
d3ef55d6de8e4be1d4b905e8169224b5,2452.12
d77aa95864ae5b42160937615628723a,2450.1
85475e754525d6d222d917dbc8251801,2438.51
24c0598e5978021ede868fbf7526544a,2429.68
